Age,Fare,Parents/Children Aboard,Pclass,Sex,Siblings/Spouses Aboard,Survived
0.42,8.5167,1,3,1,0,1
0.67,14.5,1,2,1,1,1
0.75,19.2583,1,3,0,2,1
0.83,18.75,1,2,1,1,1
0.83,29,2,2,1,0,1
0.92,151.55,2,1,1,1,1
1,11.1333,1,3,0,1,1
1,15.7417,2,3,0,0,1
1,20.575,2,3,1,1,1
1,37.0042,2,2,1,0,1
1,39,1,2,1,2,1
1,39.6875,1,3,1,4,0
1,46.9,2,3,1,5,0
2,10.4625,1,3,0,0,0
2,12.2875,1,3,0,0,1
2,21.075,1,3,1,3,0
2,22.3583,1,3,0,1,1
2,26,1,2,0,1,1
2,26,1,2,1,1,1
2,27.9,2,3,0,3,0
2,29.125,1,3,1,4,0
2,31.275,2,3,0,4,0
2,39.6875,1,3,1,4,0
2,151.55,2,1,0,1,0
3,15.9,1,3,1,1,1
3,18.75,1,2,1,1,1
3,21.075,1,3,0,3,0
3,25.4667,1,3,0,3,0
3,26,1,2,1,1,1
3,31.3875,2,3,1,4,1
3,41.5792,2,2,0,1,1
4,11.1333,1,3,1,1,1
4,13.4167,1,3,0,0,1
4,15.2458,1,3,1,1,1
4,16.7,1,3,0,1,1
4,22.025,2,3,0,0,1
4,23,1,2,0,1,1
4,27.9,2,3,1,3,0
4,29.125,1,3,1,4,0
4,31.275,2,3,1,4,0
4,39,1,2,0,2,1
4,81.8583,2,1,1,0,1
5,12.475,0,3,0,0,1
5,19.2583,1,3,0,2,1
5,25.4667,1,3,1,3,0
5,27.75,2,2,0,1,1
5,31.3875,2,3,0,4,1
5,69.55,2,3,1,8,0
6,12.475,1,3,1,0,1
6,31.275,2,3,0,4,0
6,33,1,2,0,0,1
7,15.2458,1,3,1,1,1
7,23.45,2,3,0,1,0
7,26.25,2,2,0,0,1
7,29.125,1,3,1,4,0
7,39.6875,1,3,1,4,0
8,21.075,1,3,0,3,0
8,25.4667,1,3,0,3,0
8,26.25,2,2,0,0,1
8,29.125,1,3,1,4,0
8,36.75,1,2,1,1,1
8,69.55,2,3,0,8,0
9,15.2458,1,3,0,1,0
9,15.9,1,3,1,1,1
9,20.525,2,3,1,0,1
9,27.9,2,3,0,3,0
9,31.275,2,3,0,4,0
9,31.3875,2,3,1,4,0
9,34.375,2,3,0,2,0
9,46.9,2,3,1,5,0
10,24.15,2,3,0,0,0
10,27.9,2,3,1,3,0
11,18.7875,0,3,1,0,0
11,31.275,2,3,0,4,0
11,46.9,2,3,1,5,0
11,120,2,1,1,1,1
12,11.2417,0,3,1,1,1
12,25.4667,1,3,0,3,0
13,7.2292,0,3,0,0,1
13,19.5,1,2,0,0,1
14,7.8542,0,3,0,0,0
14,11.2417,0,3,0,1,1
14,30.0708,0,2,0,1,1
14,39.6875,1,3,1,4,0
14,46.9,2,3,1,5,0
14,69.55,2,3,0,8,0
14,120,2,1,0,1,1
14.5,14.4542,0,3,0,1,0
15,7.225,0,3,0,0,1
15,7.2292,1,3,1,1,0
15,8.0292,0,3,0,0,1
15,14.4542,0,3,0,1,1
15,211.3375,1,1,0,0,1
16,7.7333,0,3,0,0,1
16,7.75,0,3,0,0,1
16,7.775,0,3,1,0,0
16,7.8292,0,3,0,0,1
16,8.05,0,3,1,0,0
16,8.05,0,3,1,0,1
16,8.7125,0,3,1,0,0
16,9.2167,0,3,1,0,0
16,9.5,0,3,1,0,0
16,10.5,0,2,1,0,0
16,18,0,3,1,2,0
16,20.25,1,3,1,1,0
16,21.6792,0,3,1,2,0
16,26,0,2,1,0,0
16,34.375,3,3,1,1,0
16,39.4,1,1,0,0,1
16,39.6875,1,3,1,4,0
16,46.9,2,3,0,5,0
16,57.9792,1,1,0,0,1
16,86.5,0,1,0,0,1
17,7.0542,0,3,1,1,0
17,7.125,0,3,1,0,0
17,7.2292,0,3,1,0,0
17,7.2292,1,3,1,1,0
17,7.75,0,3,1,0,0
17,7.925,2,3,0,4,1
17,8.6625,0,3,1,0,0
17,10.5,0,2,0,0,1
17,12,0,2,0,0,1
17,14.4583,0,3,0,0,0
17,57,0,1,0,1,1
17,69.55,2,3,1,8,0
17,108.9,0,1,0,1,1
17,110.8833,2,1,1,0,1
18,6.4958,0,3,1,1,0
18,6.75,0,3,0,0,0
18,7.225,0,3,1,0,0
18,7.2292,0,3,1,0,0
18,7.2292,0,3,1,0,1
18,7.25,0,3,1,0,0
18,7.4958,0,3,0,0,1
18,7.7333,0,3,1,0,0
18,7.75,0,3,0,0,1
18,7.75,0,3,1,0,0
18,7.775,0,3,0,0,0
18,7.775,0,3,1,0,0
18,7.7958,0,3,1,0,0
18,7.8542,1,3,1,1,0
18,8.05,0,3,1,0,1
18,8.3,0,3,1,0,0
18,9.35,1,3,0,0,1
18,9.8417,0,3,0,0,1
18,11.5,0,2,1,0,0
18,13,0,2,1,0,0
18,13,2,2,0,0,1
18,14.4542,1,3,0,0,0
18,14.4583,0,3,0,1,0
18,15.5,0,3,0,1,1
18,17.8,0,3,0,1,0
18,18,0,3,0,2,0
18,20.2125,1,3,1,1,0
18,23,1,2,0,0,1
18,69.55,2,3,1,8,0
18,73.5,0,2,1,0,0
18,79.65,2,1,0,0,1
18,108.9,0,1,1,1,0
